,Team,Country_ID,Year,Season,City,Sport,Event,Medal
132709,Denmark,DEN,1936,Summer,Berlin,Rowing,Rowing Men's Coxless Pairs,Silver
132714,Kristiania Roklub-1,NOR,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Outriggers",Bronze
132715,Norway,NOR,1920,Summer,Antwerpen,Rowing,Rowing Men's Coxed Fours,Bronze
132716,Denmark,DEN,1948,Summer,London,Rowing,Rowing Men's Coxed Fours,Bronze
132719,Denmark,DEN,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Pairs,Bronze
132720,Denmark,DEN,1948,Summer,London,Rowing,Rowing Men's Coxless Fours,Silver
132723,Denmark,DEN,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
132735,Denmark,DEN,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
132738,Denmark,DEN,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
132741,Denmark,DEN,1906,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver
132743,Denmark,DEN,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Gold
132755,Denmark,DEN,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze
132756,Denmark,DEN,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
132761,Denmark,DEN,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Silver
132767,Denmark,DEN,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Gold
132768,Denmark,DEN,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",Bronze
132770,Denmark,DEN,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
132777,Magda IX,NOR,1912,Summer,Stockholm,Sailing,Sailing Mixed 12 metres,Gold
132785,Norway,NOR,1924,Winter,Chamonix,Speed Skating,Speed Skating Men's 500 metres,Bronze
132786,Norway,NOR,1924,Winter,Chamonix,Speed Skating,"Speed Skating Men's 1,500 metres",Silver
132787,Norway,NOR,1924,Winter,Chamonix,Speed Skating,"Speed Skating Men's 5,000 metres",Bronze
132788,Norway,NOR,1924,Winter,Chamonix,Speed Skating,"Speed Skating Men's 10,000 metres",Bronze
132789,Norway,NOR,1924,Winter,Chamonix,Speed Skating,Speed Skating Men's Allround,Silver
132790,Norway,NOR,1928,Winter,Sankt Moritz,Speed Skating,Speed Skating Men's 500 metres,Bronze
132799,Norway,NOR,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Silver
132802,Norway,NOR,2000,Summer,Sydney,Handball,Handball Women's Handball,Bronze
132803,Norway,NOR,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
132807,Norway,NOR,1952,Summer,Helsinki,Shooting,"Shooting Men's Running Target, Single And Double Shot",Gold
132816,United States,USA,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
132817,United States,USA,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
132822,United States,USA,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle,Silver
132823,United States,USA,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
132826,United States,USA,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Bronze
132827,United States,USA,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver
132828,United States,USA,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
132832,Sweden,SWE,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
132833,Sweden,SWE,1996,Summer,Atlanta,Handball,Handball Men's Handball,Silver
132834,Sweden,SWE,2000,Summer,Sydney,Handball,Handball Men's Handball,Silver
132840,Sweden,SWE,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
132841,Sweden,SWE,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Bronze
132847,Sweden,SWE,1912,Summer,Stockholm,Athletics,"Athletics Men's Cross-Country, Team",Gold
132855,Sweden,SWE,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
132856,Sweden,SWE,1936,Winter,Garmisch-Partenkirchen,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,Gold
132857,Sweden,SWE,1936,Winter,Garmisch-Partenkirchen,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
132858,Sweden,SWE,1912,Summer,Stockholm,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
132860,Sweden,SWE,1952,Summer,Helsinki,Swimming,Swimming Men's 100 metres Freestyle,Bronze
132869,Sweden,SWE,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Individual Medley,Gold
132870,Sweden,SWE,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Individual Medley,Gold
132872,Sweden,SWE,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Bronze
132875,Sweden,SWE,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
132882,Sweden,SWE,2008,Summer,Beijing,Cycling,Cycling Men's Individual Time Trial,Silver
132888,Sweden,SWE,1936,Summer,Berlin,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Bronze
132919,Sweden,SWE,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
132924,Sweden,SWE,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
132933,Sweden,SWE,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
132937,Sweden,SWE,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Fours,Silver
132943,Sweden,SWE,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
132949,Sweden,SWE,1948,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,Bronze
132950,Sweden,SWE,1948,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
132973,Finland,FIN,1928,Summer,Amsterdam,Athletics,"Athletics Men's 1,500 metres",Gold
132979,Belarus,BLR,2000,Summer,Sydney,Judo,Judo Men's Lightweight,Bronze
132983,Spain,ESP,1992,Summer,Barcelona,Football,Football Men's Football,Gold
132993,Finland,FIN,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
133000,Soviet Union,URS,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Gold
133009,Soviet Union,URS,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Gold
133010,Iran,IRI,2012,Summer,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
133016,Georgia,GEO,2012,Summer,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
133018,Unified Team,EUN,1992,Summer,Barcelona,Diving,Diving Women's Springboard,Silver
133019,Russia,RUS,1996,Summer,Atlanta,Diving,Diving Women's Springboard,Silver
133021,Australia,AUS,2004,Summer,Athina,Diving,Diving Women's Synchronized Springboard,Bronze
133022,Russia,RUS,2012,Summer,London,Athletics,Athletics Women's 20 kilometres Walk,Gold
133029,Italy,ITA,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Bronze
133030,Poland,POL,1928,Summer,Amsterdam,Fencing,"Fencing Men's Sabre, Team",Bronze
133037,Russia,RUS,1996,Summer,Atlanta,Athletics,Athletics Women's Triple Jump,Silver
133045,Sweden,SWE,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
133053,France,FRA,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
133056,Australia,AUS,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
133068,Finland,FIN,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
133084,Netherlands,NED,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
133089,Spain,ESP,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Silver
133096,Cuba,CUB,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Gold
133103,France,FRA,1948,Summer,London,Fencing,"Fencing Men's Foil, Team",Gold
133105,France,FRA,1952,Summer,Helsinki,Fencing,"Fencing Men's Foil, Team",Gold
133107,France,FRA,1956,Summer,Melbourne,Fencing,"Fencing Men's Foil, Team",Silver
133120,France,FRA,1992,Summer,Barcelona,Handball,Handball Men's Handball,Bronze
133124,Germany,GER,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Gold
133133,Italy,ITA,1936,Summer,Berlin,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
133140,Poland,POL,1972,Summer,Munich,Football,Football Men's Football,Gold
133141,Poland,POL,1976,Summer,Montreal,Football,Football Men's Football,Silver
133152,France,FRA,1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Team",Silver
133154,France,FRA,1980,Summer,Moskva,Fencing,"Fencing Women's Foil, Team",Gold
133156,France,FRA,1984,Summer,Los Angeles,Fencing,"Fencing Women's Foil, Team",Bronze
133163,Frankfurt Club,GER,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
133166,New Zealand,NZL,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
133167,New Zealand,NZL,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
133173,Italy,ITA,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Rings,Bronze
133176,Netherlands,NED,1996,Summer,Atlanta,Volleyball,Volleyball Men's Volleyball,Gold
133184,Soviet Union,URS,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Individual All-Around,Gold
133185,Soviet Union,URS,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Team All-Around,Gold
133186,Soviet Union,URS,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Team Portable Apparatus,Bronze
133187,Soviet Union,URS,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Floor Exercise,Gold
133188,Soviet Union,URS,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Horse Vault,Gold
133189,Soviet Union,URS,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Uneven Bars,Silver
133191,Soviet Union,URS,1960,Summer,Roma,Gymnastics,Gymnastics Women's Individual All-Around,Gold
133192,Soviet Union,URS,1960,Summer,Roma,Gymnastics,Gymnastics Women's Team All-Around,Gold
133193,Soviet Union,URS,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,Gold
133194,Soviet Union,URS,1960,Summer,Roma,Gymnastics,Gymnastics Women's Horse Vault,Bronze
133195,Soviet Union,URS,1960,Summer,Roma,Gymnastics,Gymnastics Women's Uneven Bars,Silver
133196,Soviet Union,URS,1960,Summer,Roma,Gymnastics,Gymnastics Women's Balance Beam,Silver
133197,Soviet Union,URS,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,Silver
133198,Soviet Union,URS,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Gold
133199,Soviet Union,URS,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,Gold
133200,Soviet Union,URS,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,Silver
133201,Soviet Union,URS,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
133202,Soviet Union,URS,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,Bronze
133205,Germany,GER,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,Silver
133208,Germany,GER,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Gold
133212,East Germany,GDR,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
133213,East Germany,GDR,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
133227,Hungary,HUN,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Architecture,Silver
133231,East Germany,GDR,1976,Summer,Montreal,Football,Football Men's Football,Gold
133235,Germany,GER,2008,Summer,Beijing,Football,Football Women's Football,Bronze
133236,Germany,GER,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
133238,France,FRA,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Gold
133239,Austria,AUT,1936,Summer,Berlin,Football,Football Men's Football,Silver
133241,Argentina,ARG,1960,Summer,Roma,Boxing,Boxing Men's Lightweight,Bronze
133246,United States,USA,1924,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
133248,Romania,ROU,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
133249,Romania,ROU,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
133253,Germany,GER,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
133276,United States,USA,1928,Summer,Amsterdam,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
133277,United States,USA,1928,Summer,Amsterdam,Swimming,Swimming Men's 100 metres Backstroke,Silver
133278,Germany,GER,1960,Summer,Roma,Athletics,Athletics Women's Long Jump,Bronze
133280,Canada,CAN,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
133281,Canada,CAN,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
133282,Libellule de Paris,FRA,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
133287,Great Britain,GBR,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,Silver
133288,Great Britain,GBR,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Gold
133296,Finland,FIN,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
133297,Finland,FIN,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
133315,Finland,FIN,1948,Winter,Sankt Moritz,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
133317,Canada,CAN,1984,Summer,Los Angeles,Rowing,Rowing Women's Double Sculls,Bronze
133318,Canada,CAN,1984,Summer,Los Angeles,Rowing,Rowing Women's Double Sculls,Bronze
133320,Canada,CAN,1992,Summer,Barcelona,Rowing,Rowing Women's Single Sculls,Bronze
133321,Canada,CAN,1996,Summer,Atlanta,Rowing,Rowing Women's Single Sculls,Silver
133337,Cameroon,CMR,2000,Summer,Sydney,Football,Football Men's Football,Gold
133353,France,FRA,1900,Summer,Paris,Fencing,"Fencing Men's epee, Masters, Individual",Bronze
133357,France,FRA,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
133369,Italy,ITA,1948,Summer,London,Art Competitions,"Art Competitions Mixed Music, Instrumental And Chamber",Bronze
133374,United States,USA,1936,Summer,Berlin,Boxing,Boxing Men's Flyweight,Bronze
133376,Great Britain,GBR,1948,Summer,London,Rowing,Rowing Men's Coxless Pairs,Gold
133379,Netherlands,NED,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Eights,Bronze
133383,Finland,FIN,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
133387,Finland,FIN,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
133390,Sunshine,SWE,1936,Summer,Berlin,Sailing,Sailing Mixed Two Person Keelboat,Silver
133391,Soviet Union,URS,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Silver
133392,Italy,ITA,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
133393,Denmark,DEN,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold
133394,Norway,NOR,1984,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",Bronze
133409,Denmark,DEN,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
133432,France,FRA,1924,Summer,Paris,Athletics,"Athletics Men's Cross-Country, Team",Bronze
133434,United States,USA,1984,Summer,Los Angeles,Athletics,Athletics Men's Shot Put,Bronze
133440,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
133441,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Butterfly,Bronze
133442,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
133444,Great Britain,GBR,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Team",Silver
133456,France,FRA,1924,Summer,Paris,Athletics,"Athletics Men's Cross-Country, Team",Bronze
133495,United States,USA,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
133508,Great Britain,GBR,2004,Summer,Athina,Rowing,Rowing Women's Double Sculls,Bronze
133509,Great Britain,GBR,2008,Summer,Beijing,Rowing,Rowing Women's Double Sculls,Bronze
133522,Switzerland,SUI,1912,Summer,Stockholm,Art Competitions,Art Competitions Mixed Architecture,Gold
133542,Argentina,ARG,2008,Summer,Beijing,Football,Football Men's Football,Gold
133557,France,FRA,2012,Summer,London,Athletics,Athletics Men's Pole Vault,Gold
133558,France,FRA,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,Silver
133563,United States,USA,1952,Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
133572,Australia,AUS,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver
133573,Australia,AUS,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
133590,Italy,ITA,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,Gold
133597,Belarus,BLR,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Lightweight,Bronze
133605,Romania,ROU,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Fours,Gold
133607,Belarus,BLR,1996,Summer,Atlanta,Rowing,Rowing Women's Coxed Eights,Bronze
133615,Yugoslavia,YUG,1972,Summer,Munich,Handball,Handball Men's Handball,Gold
133616,Soviet Union,URS,1988,Summer,Seoul,Handball,Handball Men's Handball,Gold
133617,Unified Team,EUN,1992,Summer,Barcelona,Handball,Handball Men's Handball,Gold
133619,Russia,RUS,2000,Summer,Sydney,Handball,Handball Men's Handball,Gold
133620,Russia,RUS,2004,Summer,Athina,Handball,Handball Men's Handball,Bronze
133622,Russia,RUS,2000,Summer,Sydney,Handball,Handball Men's Handball,Gold
133624,Russia,RUS,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
133625,Russia,RUS,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
133626,Denmark,DEN,1998,Winter,Nagano,Curling,Curling Women's Curling,Silver
133635,Wales-4,GBR,1908,Summer,London,Hockey,Hockey Men's Hockey,Bronze
133640,Canada,CAN,2002,Winter,Salt Lake City,Curling,Curling Women's Curling,Bronze
133642,Great Britain,GBR,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
133643,Great Britain,GBR,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
133644,Great Britain,GBR,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
133654,Nigeria,NGR,1996,Summer,Atlanta,Football,Football Men's Football,Gold
133661,United States,USA,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Bronze
133662,Canada,CAN,2014,Winter,Sochi,Curling,Curling Women's Curling,Gold
133664,United States,USA,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
133678,Christian Brothers' College-1,USA,1904,Summer,St. Louis,Football,Football Men's Football,Silver
133685,Jamaica,JAM,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
133687,Australia,AUS,1956,Summer,Melbourne,Athletics,"Athletics Men's 10,000 metres",Bronze
133694,Canada,CAN,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
133708,United States-2,USA,1936,Winter,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh Men's Two,Bronze
133717,Australia,AUS,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
133718,United States,USA,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,Gold
133721,United States,USA,2012,Summer,London,Fencing,"Fencing Women's epee, Team",Bronze
133736,Jamaica,JAM,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,Silver
133737,Jamaica,JAM,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
133738,Jamaica,JAM,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
133751,Cornwall,GBR,1908,Summer,London,Rugby,Rugby Men's Rugby,Silver
133754,Dormy-1,GBR,1908,Summer,London,Sailing,Sailing Mixed 6 metres,Gold
133772,United States,USA,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Gold
133779,France,FRA,2012,Summer,London,Basketball,Basketball Women's Basketball,Silver
133782,New Zealand,NZL,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Fours,Bronze
133785,United States,USA,1936,Winter,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
133787,India,IND,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Gold
133788,India,IND,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Silver
133789,India,IND,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Gold
133793,United States,USA,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Silver
133794,Canada,CAN,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
133804,Canada,CAN,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Bronze
133810,Canada,CAN,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
133827,United States,USA,1952,Summer,Helsinki,Athletics,Athletics Men's Pole Vault,Silver
133830,Soviet Union,URS,1972,Summer,Munich,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
133831,Soviet Union,URS,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Gold
133832,Soviet Union,URS,1972,Summer,Munich,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
133835,Soviet Union,URS,1972,Summer,Munich,Gymnastics,Gymnastics Women's Balance Beam,Silver
133837,Romania,ROU,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
133848,Romania,ROU,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Team",Bronze
133850,Romania,ROU,1996,Summer,Atlanta,Fencing,"Fencing Women's Foil, Team",Silver
133856,France,FRA,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
133863,Yugoslavia,YUG,1972,Summer,Munich,Handball,Handball Men's Handball,Gold
133867,Omas Helliniki P. S.,GRE,1906,Summer,Athina,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver
133868,Omas Helliniki P. S.,GRE,1906,Summer,Athina,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver
133887,Soviet Union,URS,1976,Summer,Montreal,Rowing,Rowing Men's Quadruple Sculls,Silver
133917,Cuba,CUB,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Gold
133918,Cuba,CUB,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Silver
133919,Cuba,CUB,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Gold
133920,Cuba,CUB,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Silver
133922,Montenegro,MNE,2012,Summer,London,Handball,Handball Women's Handball,Silver
133926,Belarus,BLR,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
133935,Unified Team,EUN,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
133939,Russia,RUS,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
133940,Russia,RUS,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,Gold
133941,Russia,RUS,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Silver
133942,Russia,RUS,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Bronze
133943,Russia,RUS,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,Gold
133944,Russia,RUS,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
133981,Poland,POL,1992,Summer,Barcelona,Football,Football Men's Football,Silver
133982,Poland,POL,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Fours,Bronze
133983,Poland,POL,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
133989,Poland,POL,1924,Summer,Paris,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
133994,Poland,POL,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
133995,Poland,POL,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
134003,Chinese Taipei,TPE,2016,Summer,Rio de Janeiro,Archery,Archery Women's Team,Bronze
134007,China,CHN,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
134009,China,CHN,1996,Summer,Atlanta,Swimming,Swimming Women's 50 metres Freestyle,Silver
134010,China,CHN,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Freestyle,Gold
134011,China,CHN,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
134013,China,CHN,2004,Summer,Athina,Weightlifting,Weightlifting Men's Featherweight,Silver
134026,Canada-1,CAN,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,Bronze
134035,Crabe II-1,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
134037,Crabe II-4,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
134041,France,FRA,1998,Winter,Nagano,Bobsleigh,Bobsleigh Men's Four,Bronze
134047,South Africa,RSA,2012,Summer,London,Swimming,Swimming Men's 100 metres Butterfly,Silver
134048,South Africa,RSA,2012,Summer,London,Swimming,Swimming Men's 200 metres Butterfly,Gold
134052,South Africa,RSA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,Silver
134053,South Africa,RSA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Butterfly,Silver
134057,France,FRA,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Windsurfer,Bronze
134058,France,FRA,2008,Summer,Beijing,Cycling,Cycling Women's BMX,Silver
